web-scraper-order	web-scraper-start-url	Date	Open	High	Low	Close	Volume	Market Cap
1522067380-206	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	9-Jan-18	"15,123.70"	"15,497.50"	"14,424.00"	"14,595.40"	"16,660,000,000"	"253,935,000,000"
1522067380-188	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	8-Jan-18	"16,476.20"	"16,537.90"	"14,208.20"	"15,170.10"	"18,413,900,000"	"276,612,000,000"
1522067380-183	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	7-Jan-18	"17,527.30"	"17,579.60"	"16,087.70"	"16,477.60"	"15,866,000,000"	"294,222,000,000"
1522067380-210	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	6-Jan-18	"17,462.10"	"17,712.40"	"16,764.60"	"17,527.00"	"18,314,600,000"	"293,091,000,000"
1522067380-134	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	5-Jan-18	"15,477.20"	"17,705.20"	"15,202.80"	"17,429.50"	"23,840,900,000"	"259,748,000,000"
1522067380-156	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	4-Jan-18	"15,270.70"	"15,739.70"	"14,522.20"	"15,599.20"	"21,783,200,000"	"256,250,000,000"
1522067380-180	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	3-Jan-18	"14,978.20"	"15,572.80"	"14,844.50"	"15,201.00"	"16,871,900,000"	"251,312,000,000"
1522067380-177	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	2-Jan-18	"13,625.00"	"15,444.60"	"13,163.60"	"14,982.10"	"16,846,600,000"	"228,579,000,000"
1522067380-181	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	1-Jan-18	"14,112.20"	"14,112.20"	"13,154.70"	"13,657.20"	"10,291,200,000"	"236,725,000,000"
1522067380-169	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	31-Dec-17	"12,897.70"	"14,377.40"	"12,755.60"	"14,156.40"	"12,136,300,000"	"216,326,000,000"
1522067380-220	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	30-Dec-17	"14,681.90"	"14,681.90"	"12,350.10"	"12,952.20"	"14,452,600,000"	"246,224,000,000"
1522067380-186	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	29-Dec-17	"14,695.80"	"15,279.00"	"14,307.00"	"14,656.20"	"13,025,500,000"	"246,428,000,000"
1522067380-208	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	28-Dec-17	"15,864.10"	"15,888.40"	"13,937.30"	"14,606.50"	"12,336,500,000"	"265,988,000,000"
1522067380-144	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	27-Dec-17	"16,163.50"	"16,930.90"	"15,114.30"	"15,838.50"	"12,487,600,000"	"270,976,000,000"
1522067380-219	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	26-Dec-17	"14,036.60"	"16,461.20"	"14,028.90"	"16,099.80"	"13,454,300,000"	"235,294,000,000"
